PDE,BC,IC,Data
709.1702880859375,1122.8785400390625,6654.09326171875,728.7301635742188
1078.636474609375,1122.30859375,6368.34912109375,670.490966796875
989.1411743164062,1424.912109375,6065.8427734375,625.4873046875
1115.08837890625,2080.747314453125,5533.5224609375,553.3994750976562
568.9506225585938,2926.058837890625,5216.76806640625,572.3533935546875
789.026123046875,2056.27880859375,5385.41259765625,554.7359008789062
1014.5571899414062,2103.25927734375,5567.1103515625,482.87872314453125
633.2705688476562,1289.8060302734375,5579.0576171875,493.66595458984375
633.2705688476562,1289.8060302734375,5579.0576171875,493.66595458984375
536.8395385742188,1449.16455078125,4781.2587890625,516.3230590820312
731.6583251953125,1437.776123046875,4542.57275390625,471.3052978515625
934.4390258789062,1656.2838134765625,4023.29638671875,410.5400695800781
777.85595703125,1471.6044921875,4351.314453125,366.99005126953125
1223.6585693359375,1210.887939453125,3599.430908203125,334.2579040527344
492.6219482421875,1549.1202392578125,3252.6982421875,359.29962158203125
789.2662353515625,1613.0703125,2975.10791015625,315.9515686035156
828.4683227539062,1259.9859619140625,2921.83642578125,304.6313781738281
643.3605346679688,1381.785888671875,2706.25732421875,277.0250244140625
1761.6993408203125,1746.0751953125,1750.9892578125,201.7183837890625
1066.433837890625,1573.849609375,2086.90771484375,223.99041748046875
641.7340087890625,2238.523193359375,1846.448974609375,200.2483673095703
741.8834838867188,2034.70263671875,1774.17919921875,196.97994995117188
665.1002807617188,2131.353759765625,1717.212646484375,199.70362854003906
698.427001953125,2021.2265625,1744.375732421875,197.22195434570312
816.7506713867188,2017.61767578125,1551.825927734375,188.67462158203125
782.8870239257812,2055.587158203125,1498.2135009765625,171.6071319580078
1000.130126953125,2263.730224609375,1140.615478515625,125.76611328125
484.436279296875,2505.2060546875,1353.0703125,124.6510238647461
634.9149169921875,2290.19287109375,1265.139404296875,119.46266174316406
692.8118896484375,2235.937744140625,1232.127197265625,118.56065368652344
723.2230224609375,2250.618408203125,1170.671630859375,114.24681854248047
723.2230224609375,2250.618408203125,1170.671630859375,114.24681854248047
709.6776123046875,2236.288330078125,1159.107177734375,110.5230712890625
715.0686645507812,2180.62841796875,1150.361328125,107.56380462646484
667.9300537109375,2124.55908203125,1178.291259765625,105.47725677490234
620.95654296875,2144.343994140625,1180.1435546875,101.0658187866211
586.3026733398438,2187.549560546875,1141.249267578125,95.32868957519531
577.257080078125,2215.340576171875,1089.998291015625,87.85841369628906
638.3682861328125,2159.884765625,1013.25,79.51609802246094
524.3477783203125,2291.767578125,933.5786743164062,74.65164184570312
602.0344848632812,2205.36376953125,923.578369140625,71.4880142211914
547.4984741210938,2196.302734375,954.0924072265625,70.34577941894531
551.3701782226562,2169.7890625,951.652587890625,68.32649993896484
534.46728515625,2126.81640625,961.8181762695312,65.30388641357422
501.15582275390625,2121.88232421875,944.7264404296875,61.08463668823242
549.8630981445312,2013.745849609375,948.6783447265625,57.72080612182617
381.41510009765625,2118.986083984375,962.864990234375,55.28059005737305
541.0243530273438,1952.7969970703125,931.9420166015625,54.10026168823242
520.9898071289062,1961.497802734375,921.7772216796875,52.519447326660156
514.8138427734375,1973.60302734375,901.4169921875,51.88901138305664
510.6814880371094,1994.36279296875,880.4620971679688,50.670047760009766
545.1240844726562,1985.5684814453125,850.6248779296875,48.4899787902832
545.1240844726562,1985.5684814453125,850.6248779296875,48.4899787902832
552.9616088867188,1973.267822265625,837.6295166015625,46.9222297668457
576.424560546875,1946.498779296875,823.0433349609375,44.70189666748047
534.7030639648438,1941.364013671875,844.288818359375,43.40964889526367
485.5596008300781,1964.8358154296875,845.3419189453125,40.50886154174805
474.267822265625,1944.815185546875,849.6516723632812,38.65211868286133
458.14794921875,1921.0950927734375,844.6881713867188,35.85960388183594
487.4201354980469,1842.960693359375,843.7603149414062,32.70754623413086
441.949462890625,1865.09033203125,834.2242431640625,30.826208114624023
479.9085998535156,1840.8280029296875,815.34912109375,30.744922637939453
458.3905944824219,1845.6690673828125,823.3912353515625,29.75834846496582
423.0719909667969,1868.9072265625,809.9900512695312,28.976741790771484
429.24871826171875,1844.607177734375,801.0999755859375,28.370939254760742
404.3349609375,1862.948974609375,789.3203125,26.922407150268555
