x,z,rho
1.554621887207031250e+01,7.594936490058898926e-01,1.086963415145874023e+00
1.596638679504394531e+01,7.594936490058898926e-01,1.084600687026977539e+00
1.638655471801757812e+01,7.594936490058898926e-01,1.081562399864196777e+00
1.680672264099121094e+01,7.594936490058898926e-01,1.078195333480834961e+00
1.722689056396484375e+01,7.594936490058898926e-01,1.074727535247802734e+00
1.764705848693847656e+01,7.594936490058898926e-01,1.071304202079772949e+00
1.806722640991210938e+01,7.594936490058898926e-01,1.068014383316040039e+00
1.848739433288574219e+01,7.594936490058898926e-01,1.064906358718872070e+00
1.890756225585937500e+01,7.594936490058898926e-01,1.062002182006835938e+00
1.932773017883300781e+01,7.594936490058898926e-01,1.059307217597961426e+00
1.974790000915527344e+01,7.594936490058898926e-01,1.056815147399902344e+00
2.016806793212890625e+01,7.594936490058898926e-01,1.054514288902282715e+00
2.058823585510253906e+01,7.594936490058898926e-01,1.052389383316040039e+00
2.100840377807617188e+01,7.594936490058898926e-01,1.050424337387084961e+00
2.142857170104980469e+01,7.594936490058898926e-01,1.048602581024169922e+00
2.184873962402343750e+01,7.594936490058898926e-01,1.046908259391784668e+00
2.226890754699707031e+01,7.594936490058898926e-01,1.045327067375183105e+00
2.268907546997070312e+01,7.594936490058898926e-01,1.043845772743225098e+00
2.310924339294433594e+01,7.594936490058898926e-01,1.042452216148376465e+00
2.352941131591796875e+01,7.594936490058898926e-01,1.041135311126708984e+00
2.394957923889160156e+01,7.594936490058898926e-01,1.039885759353637695e+00
2.436974716186523438e+01,7.594936490058898926e-01,1.038695573806762695e+00
2.478991508483886719e+01,7.594936490058898926e-01,1.037556290626525879e+00
2.521008491516113281e+01,7.594936490058898926e-01,1.036461830139160156e+00
2.563025283813476562e+01,7.594936490058898926e-01,1.035405874252319336e+00
2.605042076110839844e+01,7.594936490058898926e-01,1.034383773803710938e+00
2.647058868408203125e+01,7.594936490058898926e-01,1.033390045166015625e+00
2.689075660705566406e+01,7.594936490058898926e-01,1.032420992851257324e+00
2.731092453002929688e+01,7.594936490058898926e-01,1.031472802162170410e+00
2.773109245300292969e+01,7.594936490058898926e-01,1.030542016029357910e+00
2.815126037597656250e+01,7.594936490058898926e-01,1.029624938964843750e+00
2.857142829895019531e+01,7.594936490058898926e-01,1.028719186782836914e+00
2.899159622192382812e+01,7.594936490058898926e-01,1.027821660041809082e+00
2.941176414489746094e+01,7.594936490058898926e-01,1.026929378509521484e+00
2.983193206787109375e+01,7.594936490058898926e-01,1.026039600372314453e+00
3.025209999084472656e+01,7.594936490058898926e-01,1.025149822235107422e+00
3.067226982116699219e+01,7.594936490058898926e-01,1.024256944656372070e+00
3.109243774414062500e+01,7.594936490058898926e-01,1.023357987403869629e+00
3.151260566711425781e+01,7.594936490058898926e-01,1.022449374198913574e+00
3.193277359008789062e+01,7.594936490058898926e-01,1.021527647972106934e+00
3.235293960571289062e+01,7.594936490058898926e-01,1.020588159561157227e+00
3.277310943603515625e+01,7.594936490058898926e-01,1.019626617431640625e+00
3.319327545166015625e+01,7.594936490058898926e-01,1.018636703491210938e+00
3.361344528198242188e+01,7.594936490058898926e-01,1.017611742019653320e+00
3.403361511230468750e+01,7.594936490058898926e-01,1.016542911529541016e+00
3.445378112792968750e+01,7.594936490058898926e-01,1.015419602394104004e+00
3.487395095825195312e+01,7.594936490058898926e-01,1.014227986335754395e+00
3.529411697387695312e+01,7.594936490058898926e-01,1.012950181961059570e+00
3.571428680419921875e+01,7.594936490058898926e-01,1.011562347412109375e+00
3.613445281982421875e+01,7.594936490058898926e-01,1.010032534599304199e+00
3.655462265014648438e+01,7.594936490058898926e-01,1.008316159248352051e+00
3.697478866577148438e+01,7.594936490058898926e-01,1.006350755691528320e+00
3.739495849609375000e+01,7.594936490058898926e-01,1.004046797752380371e+00
3.781512451171875000e+01,7.594936490058898926e-01,1.001273036003112793e+00
