x,y,t,u
-0.3125,0.9375,0.0,2.727136936717402e-07
-0.3125,1.0,0.0,1.1817273334190632e-08
-0.25,-1.0,0.0,1.007565091130853e-35
-0.25,-0.9375,0.0,4.472097820315188e-32
-0.25,-0.875,0.0,1.3120965394472346e-29
-0.25,-0.8125,0.0,4.285169101573905e-27
-0.25,-0.75,0.0,2.0102168050057927e-24
-0.25,-0.6875,0.0,1.1793214522235366e-21
-0.25,-0.625,0.0,6.868060352404772e-19
-0.25,-0.5625,0.0,2.764913784718659e-16
-0.25,-0.5,0.0,9.567958429408871e-16
-0.25,-0.4375,0.0,3.737019179204451e-13
-0.25,-0.375,0.0,6.808696037444118e-11
-0.25,-0.3125,0.0,2.0107556134965398e-10
-0.25,-0.25,0.0,2.510795529332692e-08
-0.25,-0.1875,0.0,8.766128887310666e-07
-0.25,-0.125,0.0,3.42952405371534e-06
-0.25,-0.0625,0.0,7.784879871015203e-05
-0.25,0.0,0.0,0.00018727327664195441
-0.25,0.0625,0.0,0.002126413395266453
-0.25,0.125,0.0,0.007852395254088762
-0.25,0.1875,0.0,0.021352836893785424
-0.25,0.25,0.0,0.04873118522683326
-0.25,0.3125,0.0,0.08206422684305892
-0.25,0.375,0.0,0.10225332813083168
-0.25,0.4375,0.0,0.1003157433806815
-0.25,0.5,0.0,0.07555143204909451
-0.25,0.5625,0.0,0.041342380929569884
-0.25,0.625,0.0,0.017765432318500647
-0.25,0.6875,0.0,0.004927211650375473
-0.25,0.75,0.0,0.000923919044714887
-0.25,0.8125,0.0,0.00013249418495801365
-0.25,0.875,0.0,1.598424450207067e-05
-0.25,0.9375,0.0,1.449805085013142e-06
-0.25,1.0,0.0,6.282318551822383e-08
-0.1875,-1.0,0.0,2.4131604560123503e-35
-0.1875,-0.9375,0.0,1.0710860976030085e-31
-0.1875,-0.875,0.0,3.1425259879845374e-29
-0.1875,-0.8125,0.0,1.0263158890943716e-26
-0.1875,-0.75,0.0,4.814553168378352e-24
-0.1875,-0.6875,0.0,2.8245241111309036e-21
-0.1875,-0.625,0.0,1.6449291264475702e-18
-0.1875,-0.5625,0.0,6.622083941076099e-16
-0.1875,-0.5,0.0,2.2915659871368935e-15
-0.1875,-0.4375,0.0,8.950316943289901e-13
-0.1875,-0.375,0.0,1.630711125186677e-10
-0.1875,-0.3125,0.0,4.815843637207282e-10
-0.1875,-0.25,0.0,6.013460110768532e-08
-0.1875,-0.1875,0.0,2.099524464411832e-06
-0.1875,-0.125,0.0,8.213853280764589e-06
-0.1875,-0.0625,0.0,0.00018645112285952179
-0.1875,0.0,0.0,0.0004485273156427113
-0.1875,0.0625,0.0,0.005092848852904078
-0.1875,0.125,0.0,0.018806814446973637
-0.1875,0.1875,0.0,0.05114093577610121
-0.1875,0.25,0.0,0.11671322299586782
-0.1875,0.3125,0.0,0.1965472492190363
-0.1875,0.375,0.0,0.24490098963634294
-0.1875,0.4375,0.0,0.24026039327150944
-0.1875,0.5,0.0,0.18094883379827328
-0.1875,0.5625,0.0,0.09901672824399232
-0.1875,0.625,0.0,0.04254895205515001
-0.1875,0.6875,0.0,0.01180087759863174
-0.1875,0.75,0.0,0.00221282468288008
-0.1875,0.8125,0.0,0.0003173291042005155
-0.1875,0.875,0.0,3.828293287566896e-05
-0.1875,0.9375,0.0,3.472343703524527e-06
-0.1875,1.0,0.0,1.504641519915627e-07
-0.125,-1.0,0.0,4.945064833595451e-35
-0.125,-0.9375,0.0,2.1948769224248025e-31
-0.125,-0.875,0.0,6.439685646731235e-29
-0.125,-0.8125,0.0,2.1031335063841484e-26
-0.125,-0.75,0.0,9.866015126804106e-24
-0.125,-0.6875,0.0,5.788034035944934e-21
-0.125,-0.625,0.0,3.370799963461321e-18
-0.125,-0.5625,0.0,1.3570019490641311e-15
-0.125,-0.5,0.0,4.69589262024442e-15
